Source,Target,Weight,logWeight,Syn,SGN,WxSGN,logWxSGN
ADLR,SMBVR,5,2.6094379124341,chemical,1,1,1
ASEL,ADFR,1,1,chemical,1,9,3.19722457733622
ASEL,ASER,2,1.69314718055995,chemical,1,4,2.38629436111989
ASEL,ASJL,1,1,chemical,1,5,2.6094379124341
ASEL,AWBL,1,1,chemical,1,4,2.38629436111989
ASEL,AWCL,16,3.77258872223978,chemical,1,1,1
ASEL,AWCR,11,3.39789527279837,chemical,1,6,2.79175946922805
ASEL,AFDR,3,2.09861228866811,chemical,1,1,1
ASEL,IL2R,1,1,chemical,1,1,1
ASEL,OLLR,1,1,chemical,1,2,1.69314718055995
ASEL,AIAL,6,2.79175946922805,chemical,1,2,1.69314718055995
ASEL,AIBL,16,3.77258872223978,chemical,1,1,1
ASEL,AIBR,13,3.56494935746154,chemical,1,1,1
ASEL,AIYL,32,4.46573590279973,chemical,1,12,3.484906649788
ASEL,AIYR,21,4.04452243772342,chemical,1,2,1.69314718055995
ASEL,AIZL,1,1,chemical,1,2,1.69314718055995
ASEL,RIAR,2,1.69314718055995,chemical,1,1,1
ASEL,RIR,1,1,chemical,1,39,4.66356164612965
ASER,ADLL,4,2.38629436111989,chemical,1,2,1.69314718055995
ASER,ADLR,1,1,chemical,1,46,4.8286413964891
ASER,ASEL,3,2.09861228866811,chemical,1,4,2.38629436111989
ASER,ASHR,2,1.69314718055995,chemical,1,4,2.38629436111989
ASER,ASKL,1,1,chemical,1,1,1
ASER,AWAR,1,1,chemical,1,4,2.38629436111989
ASER,AWCL,1,1,chemical,1,1,1
ASER,AWCR,1,1,chemical,1,1,1
ASER,AFDL,2,1.69314718055995,chemical,1,9,3.19722457733622
ASER,AFDR,3,2.09861228866811,chemical,1,1,1
ASER,AIAL,8,3.07944154167984,chemical,1,1,1
ASER,AIAR,4,2.38629436111989,chemical,1,6,2.79175946922805
ASER,AIBL,4,2.38629436111989,chemical,1,1,1
ASER,AIBR,32,4.46573590279973,chemical,1,4,2.38629436111989
ASER,AIYL,9,3.19722457733622,chemical,1,1,1
ASER,AIYR,38,4.63758615972639,chemical,1,1,1
ASER,AIZL,1,1,chemical,1,1,1
ASGL,ASKL,2,1.69314718055995,chemical,1,6,2.79175946922805
ASGL,AIAL,46,4.8286413964891,chemical,1,10,3.30258509299405
