RI,c,hpV,rrp2spikeRatio,surviveBinary
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.0,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-73.5,0.0,0.0
0.05,0.7,-74.0,0.0,0.0
0.05,0.7,-74.0,0.0,0.0
0.05,0.7,-74.0,0.0,0.0
0.05,0.7,-74.0,0.0,0.0
0.05,0.7,-74.0,0.058823529411764705,0.0
0.05,0.7,-74.0,0.0,0.0
0.05,0.7,-74.0,0.0,0.0
0.05,0.7,-74.0,0.0,0.0
0.05,0.7,-74.0,0.0,0.0
