from,to,connPhi,connPsi1,connPsi2,connWeight,connWxGC
M3L,M3R,51.6707171159105,1,1,5.67089261464237,5.67089261464237
M3L,M4,38.2386407016438,1,1,8.85662645348734,8.85662645348734
M3L,M5,14.866648617314,1,1,6.08838346923471,6.08838346923471
M3L,MCL,82.3776764392933,1,1,1.57635137790247,1.57635137790247
M3L,MCR,84.6757095541579,1,1,0.706139881978121,0.706139881978121
M3L,MI,52.1700846915373,1,1,0.875897208767712,0.875897208767712
M3L,NSML,43.2923351171085,1,1,0.463115758480682,0.463115758480682
M3L,NSMR,571.348036700263,1,1,9.38726144124551,9.38726144124551
M3L,I2L,82.8808085962919,1,1,4.95925266448047,4.95925266448047
M3L,I2R,42.4635538929651,1,1,1.37610223279189,1.37610223279189
M3L,I3,45.352155128081,1,1,1.34791547075985,1.34791547075985
M3L,I4,46.2559072572867,1,1,3.96904459241454,3.96904459241454
M3L,I5,-51.4200031874916,-1,-1,-0.320059922447609,-0.320059922447609
M3L,I6,111.548949615004,1,1,0.641790681447158,0.641790681447158
M3L,M1,40.231736935466,1,1,2.06965123231019,2.06965123231019
M3L,M2L,111.367323966737,1,1,5.86991088604446,5.86991088604446
M3R,I1L,14.174747902116,1,1,0.492644349353841,0.492644349353841
M3R,I1R,58.3878036078713,1,1,2.07449576379629,2.07449576379629
M3R,M2R,525.087756124958,1,1,3.34812009829288,3.34812009829288
M3R,M3L,-33.0837386097774,-1,-1,-1.59903845423512,-1.59903845423512
M3R,M3R,-9063.21306743411,-1,-1,-38.3660557596878,-38.3660557596878
M3R,M4,-83.7282100520488,-1,-1,-0.0528974708853657,-0.0528974708853657
M3R,M5,15.8029651211025,1,1,6.55903001178172,6.55903001178172
M3R,MCL,-29.0172298884463,-1,-1,-1.96130590407341,-1.96130590407341
M3R,MCR,-36.2377996407376,-1,-1,-0.463127816823114,-0.463127816823114
M3R,MI,-97.2556516125405,-1,-1,-1.12895602161488,-1.12895602161488
M3R,NSML,-41.1566185312367,-1,-1,-0.425502511261355,-0.425502511261355
M3R,NSMR,855.23361448373,1,1,4.38158098907252,4.38158098907252
M3R,I2L,-31.9402318446992,-1,-1,-1.3703665505458,-1.3703665505458
M3R,I2R,75.9347904225542,1,1,1.98168778003679,1.98168778003679
M3R,I3,-36.0730153747772,-1,-1,-0.0591359006158802,-0.0591359006158802
M3R,I4,54.4217518924388,1,1,2.53826266836874,2.53826266836874
M3R,I5,-28.7856444795852,-1,-1,-0.0386720814181506,-0.0386720814181506
M3R,I6,45.5816810677643,1,1,4.15508505015297,4.15508505015297
M3R,M1,50.2623812689199,1,1,1.48631530759853,1.48631530759853
M3R,M2L,-34.2233842515907,-1,-1,-1.61015907493613,-1.61015907493613
M4,I1L,27.0839494745069,1,1,0.236196113338141,0.236196113338141
M4,I1R,-64.2858690509456,-1,-1,-1.03714169694871,-1.03714169694871
M4,M2R,62.1071302516466,1,1,4.06438387016257,4.06438387016257
M4,M3L,86.6708873602365,1,1,5.63685410535133,5.63685410535133
M4,M3R,66.5582729915677,1,1,0.830709465656419,0.830709465656419
M4,M4,-10731.4307650204,-1,-1,-73.3843253094937,-73.3843253094937
M4,M5,4706.63547476609,1,1,14.934708089385,14.934708089385
M4,MCL,-193.100668780527,-1,-1,-1.50442721856653,-1.50442721856653
M4,MCR,-36.8213597456815,-1,-1,-0.195470597904215,-0.195470597904215
M4,MI,171.225315073676,1,1,6.59326945481968,6.59326945481968
M4,NSML,36.8831620463625,1,1,6.73673303362178,6.73673303362178
M4,NSMR,48.5303005011228,1,1,5.53071955215253,5.53071955215253
M4,I2L,38.0376164938043,1,1,4.86223036775374,4.86223036775374
M4,I2R,93.6462624626838,1,1,3.26709141463264,3.26709141463264
M4,I3,133.370728494012,1,1,7.45729720145922,7.45729720145922
M4,I4,94.4455985936283,1,1,5.64031919971269,5.64031919971269
M4,I5,51.3240074550249,1,1,2.64549183950886,2.64549183950886
M4,I6,2933.53838915434,1,1,12.1345275731197,12.1345275731197
M4,M1,50.5454327246607,1,1,3.55820510896593,3.55820510896593
M4,M2L,452.601031165648,1,1,10.3946567066453,10.3946567066453
M5,I1L,-636.769206022467,-1,-1,-10.8486494756141,-10.8486494756141
M5,I1R,-227.776006543216,-1,-1,-3.22970028700721,-3.22970028700721
M5,M2R,-490.307896747117,-1,-1,-9.9943748584888,-9.9943748584888
M5,M3L,-860.938523348092,-1,-1,-12.3142317096849,-12.3142317096849
M5,M3R,-783.946823064922,-1,-1,-11.6047453979852,-11.6047453979852
M5,M4,-1535.30463280495,-1,-1,-13.2585013736963,-13.2585013736963
M5,M5,-5119.21535211143,-1,-1,-50.2395213425542,-50.2395213425542
M5,MCL,-719.97893864548,-1,-1,-11.1473009573687,-11.1473009573687
M5,MCR,154.41302136231,1,1,0.787423296979636,0.787423296979636
M5,MI,-1429.86948646859,-1,-1,-8.52219876054833,-8.52219876054833
M5,NSML,-753.635878495787,-1,-1,-11.4557225987546,-11.4557225987546
M5,NSMR,-811.108716082434,-1,-1,-12.0399501793736,-12.0399501793736
M5,I2L,-819.193804102912,-1,-1,-12.3856649261171,-12.3856649261171
M5,I2R,-791.568852128472,-1,-1,-9.9174082881078,-9.9174082881078
M5,I3,-747.33587454973,-1,-1,-9.55401384498173,-9.55401384498173
M5,I4,-1058.63585893825,-1,-1,-13.983391477426,-13.983391477426
M5,I5,-582.989466568228,-1,-1,-11.2325129417486,-11.2325129417486
M5,I6,-458.299286726497,-1,-1,-9.72030549449769,-9.72030549449769
M5,M1,-907.142723356163,-1,-1,-11.6366806473619,-11.6366806473619
M5,M2L,-1400.66140301764,-1,-1,-19.5186213727791,-19.5186213727791
MCL,I1L,50.803256511459,1,1,2.20292536050838,2.20292536050838
MCL,I1R,-57.3363615950984,-1,-1,-0.225303870001946,-0.225303870001946
MCL,M2R,48.7651440968184,1,1,3.09636498815278,3.09636498815278
MCL,M3L,-10.6034217097858,-0,-0,-0.727649391650112,-0
MCL,M3R,-32.5703246333724,-1,-1,-2.64157791369986,-2.64157791369986
MCL,M4,-27.7547180920483,-1,-1,-1.33249771462543,-1.33249771462543
MCL,M5,23.5385476172181,1,1,2.79345005291546,2.79345005291546
MCL,MCL,-4652.75021444823,-1,-1,-13.7275592875191,-13.7275592875191
MCL,MCR,-31.1755878257027,-1,-1,-0.452926782821121,-0.452926782821121
MCL,MI,64.2849940871001,1,1,1.14224501374175,1.14224501374175
MCL,NSML,-27.4560725832143,-1,-1,-1.21232167695225,-1.21232167695225
